"homework","student_id","points","correct","feedback","justification"
"du01_1","2743","3.5","false","Obě identity nakonec vycházejí správně. V rozvoji imaginární části ale na jednom místě vytýkáte −i z první složky bez komplexního sdružení. V první složce má vzniknout sdružený skalár, tedy i; opravte tento mezikrok, aby znaménka souhlasila v celém řetězci.","Both conclusions are correct, but the imaginary-part expansion briefly extracts the scalar from the first slot without conjugating it; later lines effectively use the corrected sign."
"du01_1","2760","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2764","3.5","false","Výpočty vedou ke správným výsledkům. U reálné části však zároveň odkazujete na polarizační tvrzení, které je obsahově právě tím, co se má dokázat. Vynechte tento kruhový odkaz a uzavřete důkaz přímo z již rozepsaného rozdílu norem a vztahu z+z̄=2 Re(z).","The computations are essentially correct, but the proof unnecessarily invokes the polarization statement being established, making the logical structure partly circular."
"du01_1","2771","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2815","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2826","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2847","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2857","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2858","3.5","false","Postup přes alternativní polarizační vztah je použitelný, ale v imaginární části zapisujete rovnoběžníkové pravidlo chybně: na pravé straně mají být členy s normami násobeny dvěma. Opravte tento faktor; právě správná verze je nutná pro následnou algebraickou úpravu.","The intended reduction from the alternative polarization formulas is sound, but the parallelogram identity in the imaginary case is written without the required factor 2 on the right-hand side."
"du01_1","2862","3","false","Reálná část je dokázána správně. V imaginární části se však střídají výrazy Re(⟨u,iv⟩), Im(⟨u,v⟩) a jejich sdružené hodnoty bez jasného zdůvodnění znamének. Výsledný vzorec je správný, ale je třeba opravit a propojit mezikroky pomocí přesného vztahu mezi z−z̄ a Im(z).","The real-part proof is correct, but the imaginary-part chain mixes real and imaginary parts of rotated inner products and contains unjustified sign changes before the correct final formula."
"du01_1","2865","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2866","3.5","false","Výsledky jsou správné, avšak v rozpisu imaginární části nejsou konzistentní znaménka při odečítání druhé normy. Až pozdější výraz se smíšenými členy má správný tvar. Přepište rozvoje obou norem samostatně a zkontrolujte znaménko každého členu před jejich odečtením.","The final formulas are correct, but the imaginary-part derivation contains inconsistent signs in the displayed norm decompositions and only the later mixed-term expression is correct."
"du01_1","2869","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2871","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2874","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2876","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2877","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2878","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2881","3.5","false","Oba cílové vztahy jsou v zásadě správně. U imaginární části je ale přechod od smíšených členů k násobkům Im(⟨u,v⟩) zapsán nejednoznačně a znaménka nelze z řádku bezpečně ověřit. Doplňte explicitně vztah z−z̄=2i Im(z) pro oba rozvoje.","Both identities are essentially derived, but the conversion of the mixed imaginary terms to ±2 Im⟨u,v⟩ is stated too tersely and with ambiguous signs."
"du01_1","2887","3","false","Reálná část je správně. V imaginární části máte správný typ rozvoje, ale během úprav obrátíte znaménko rozdílu norem, takže jeden mezivýsledek odporuje závěru. Udržte pořadí ||u−iv||²−||u+iv||² a použijte z−z̄=2i Im(z) bez změny pořadí.","The real-part identity is correct and the imaginary-part method is appropriate, but the latter contains a sign inconsistency between the norm difference and the final multiple of Im⟨u,v⟩."
"du01_1","2888","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2889","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2892","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2899","2.5","false","První identita je dokázána správně. Ve druhé části však používáte součet komplexního čísla a jeho sdružené hodnoty; ten určuje reálnou, nikoli imaginární část. Pro imaginární část je nutný rozdíl z−z̄ se správným faktorem 2i a podle něj je třeba opravit závěr.","The real-part identity is proved, but the imaginary-part argument replaces the required conjugate difference by a conjugate sum, which yields a real-part expression rather than Im⟨u,v⟩."
"du01_1","2900","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2901","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2903","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2917","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2918","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2924","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2932","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2937","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2941","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2947","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2948","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2956","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2968","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2980","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2984","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2988","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","2993","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3001","3.5","false","Obě identity jsou odvozeny správnou metodou a závěr vychází. V poznámce u imaginární části ale chybí faktor 2: výraz −iz+i z̄ je roven 2 Im(z), nikoli Im(z). Opravte tuto rovnost, aby navazující násobení jednou polovinou bylo logicky správné.","Both derivations have the correct structure and result, but the statement −iz+i z̄=Im(z) misses a factor of 2; the surrounding calculation implicitly uses the correct factor."
"du01_1","3002","3","false","Výsledné vzorce uvádíte, ale důkaz není souvisle korektní. V první části zaměňujete u±v za u±iv a ve druhé části jsou nezdůvodněné změny faktorů i znamének. Opravte vstupní výrazy a proveďte oba rozdíly norem po jednotlivých členech, včetně sdružení skaláru v první složce.","The intended conclusions are present, but the real-part calculation initially uses u±iv instead of u±v and the imaginary-part simplification contains several algebraically invalid or unexplained transformations."
"du01_1","3008","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3009","2.5","false","Reálnou část v zásadě získáte, i když přes tvrzení, které je velmi blízké dokazovanému výsledku. U imaginární části končíte u výrazu se skalárními součiny a neukážete, že je roven Im(⟨u,v⟩). Doplňte převod pomocí seskvilinearity, skorosymetrie a vztahu z−z̄=2i Im(z).","The real-part relation is essentially recovered, but the solution relies on an equivalent polarization theorem and leaves the imaginary expression unevaluated, so the second identity is not proved."
"du01_1","3025","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3036","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3037","3.5","false","Oba konečné vztahy jsou správné. V důkazu imaginární části však v několika mezikrocích chybí nebo se přesouvají faktory i bez vysvětlení. Zapište zvlášť hodnoty ⟨u,iv⟩ a ⟨iv,u⟩ a až poté použijte vztah z−z̄=2i Im(z).","Both target identities are reached, but the imaginary-part algebra omits or misplaces factors of i in several intermediate equalities, so the displayed chain is not fully rigorous."
"du01_1","3039","2.5","false","První identita je doložena. Ve druhé části jsou ale rozdíly reálných čísel ztotožněny s nesprávně násobenými komplexními výrazy a výpočet nakonec pouze přepisuje definici imaginární části. Je třeba skutečně rozvinout obě normy a ukázat, že jejich rozdíl je 4 Im(⟨u,v⟩).","The real-part identity is established, but the imaginary-part chain equates real norm differences with improperly scaled complex expressions and becomes a tautology rather than a proof of the target formula."
"du01_1","3041","2","false","Reálná část je správně. V imaginární části chybně vytýkáte i z první složky, kde se musí komplexně sdružit; proto dostanete obrácené znaménko a na konci dokazujete opačné pořadí norem. Opravte pravidlo pro první složku a zachovejte rozdíl ||u−iv||²−||u+iv||².","The real-part identity is correct, but the scalar i is extracted incorrectly in the imaginary calculation, leading to the reversed norm difference and hence the opposite sign."
"du01_1","3045","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3056","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3057","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3060","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3062","3","false","První vztah je v zásadě odvozen. Ve druhém rozvoji jsou nesprávná znaménka při vytýkání i z první složky a následná rovnost s 4i Im(z) neplatí. Znovu určete oba smíšené členy pomocí linearity ve druhé a konjugované linearity v první složce.","The real-part calculation is usable, but the imaginary-part expansion mishandles conjugate-linearity and then uses incorrect identities involving 4i Im(z), so the proof of the second formula is invalid despite the stated conclusion."
"du01_1","3071","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3072","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3077","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3089","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3094","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3102","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3113","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3116","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3128","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3135","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3136","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3139","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3142","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3149","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3150","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3164","3","false","Reálná část je správná. V imaginární části se objevuje chybné znaménko u členu ||v||² a také nesprávná změna znaménka při použití skorosymetrie. Tyto chyby se v zápisu náhodně vyruší, ale závěr z nich neplyne. Opravte rozvoj obou norem před jejich odečtením.","The real-part proof is correct, but the imaginary-part expansion assigns wrong signs to pure norm terms and changes signs when replacing inner products by conjugates; the final equality is therefore not supported by the displayed work."
"du01_1","3165","4","true","Řešení je správné a úplné. Správně rozvíjíte čtverce norem pomocí vlastností komplexního skalárního součinu a v obou částech získáváte požadovaný faktor i znaménko.","The solution correctly expands the relevant squared norms using sesquilinearity and conjugate symmetry and derives both the real- and imaginary-part identities with the proper factors and signs."
"du01_1","3166","3.5","false","Oba výsledky vycházejí správně. Text ale uvádí linearitu skalárního součinu v obou složkách, což v komplexním prostoru neplatí: první složka je konjugovaně lineární. Nahraďte toto tvrzení správnou seskvilinearitou a uveďte, že právě ta dává příslušná znaménka u i.","The numerical algebra and both conclusions are essentially correct, but the solution explicitly claims complex linearity in both arguments; an inner product is conjugate-linear in the first argument."
"du01_1","3167","3.5","false","Závěry jsou správné. V rozvoji ||u−iv||² však zapisujete člen s ||v||² se záporným znaménkem, ačkoli ||iv||²=||v||². Chyba se pouze vyruší s obdobným členem v druhé normě; opravte oba rozvoje, aby každý z nich byl sám o sobě správný.","Both final identities are correct, but the expansion of ||u−iv||² contains an incorrect negative ||v||² term; it cancels only because the same mistake is mirrored in the subtracted expression."
